       382         348         381
       407         381         380
       441         407         440
       466         440         439
       500         466         499
       525         499         498
       559         525         558
       584         558         557
       618         584         617
       643         617         616
       677         643         676
       702         676         675
       736         702         735
       761         735         734
       795         761         794
       820         794         793
       854         820         853
       879         853         852
       913         879         912
       938         912         911
       972         938         971
       997         971         970
      1031         997        1030
      1056        1030        1029
      1090        1056        1089
      1115        1089        1088
        89          54          88
       113          88          87
       148         113         147
       172         147         146
       207         172         206
       231         206         205
       266         231         265
       290         265         264
       325         290         324
       349         324         323
       384         349         383
       408         383         382
       443         408         442
       467         442         441
       502         467         501
       526         501         500
       561         526         560
       585         560         559
       620         585         619
       644         619         618
       679         644         678
       703         678         677
       738         703         737
       762         737         736
       797         762         796
       821         796         795
       856         821         855
       880         855         854
       915         880         914
       939         914         913
       974         939         973
       998         973         972
      1033         998        1032
      1057        1032        1031
      1092        1057        1091
      1116        1091        1090
        91          55          90
       114          90          89
       150         114         149
       173         149         148
       209         173         208
       232         208         207
       268         232         267
       291         267         266
       327         291         326
       350         326         325
       386         350         385
       409         385         384
       445         409         444
       468         444         443
       504         468         503
       527         503         502
       563         527         562
       586         562         561
       622         586         621
       645         621         620
       681         645         680
       704         680         679
       740         704         739
       763         739         738
       799         763         798
       822         798         797
       858         822         857
       881         857         856
       917         881         916
       940         916         915
       976         940         975
       999         975         974
      1035         999        1034
      1058        1034        1033
      1094        1058        1093
      1117        1093        1092
        93          56          92
       115          92          91
       152         115         151
       174         151         150
       211         174         210
       233         210         209
       270         233         269
       292         269         268
       329         292         328
       351         328         327
       388         351         387
       410         387         386
       447         410         446
       469         446         445
       506         469         505
       528         505         504
       565         528         564
       587         564         563
       624         587         623
       646         623         622
       683         646         682
       705         682         681
       742         705         741
       764         741         740
       801         764         800
       823         800         799
       860         823         859
       882         859         858
       919         882         918
       941         918         917
       978         941         977
      1000         977         976
      1037        1000        1036
      1059        1036        1035
      1096        1059        1095
      1118        1095        1094
        95          57          94
       116          94          93
       154         116         153
       175         153         152
       213         175         212
       234         212         211
       272         234         271
       293         271         270
       331         293         330
       352         330         329
       390         352         389
       411         389         388
       449         411         448
       470         448         447
       508         470         507
       529         507         506
       567         529         566
       588         566         565
       626         588         625
       647         625         624
       685         647         684
       706         684         683
       744         706         743
       765         743         742
       803         765         802
       824         802         801
       862         824         861
       883         861         860
       921         883         920
       942         920         919
       980         942         979
      1001         979         978
      1039        1001        1038
      1060        1038        1037
      1098        1060        1097
      1119        1097        1096
        97          58          96
       117          96          95
       156         117         155
       176         155         154
       215         176         214
       235         214         213
       274         235         273
       294         273         272
       333         294         332
       353         332         331
       392         353         391
       412         391         390
       451         412         450
       471         450         449
       510         471         509
       530         509         508
       569         530         568
       589         568         567
       628         589         627
       648         627         626
       687         648         686
       707         686         685
       746         707         745
       766         745         744
       805         766         804
       825         804         803
       864         825         863
       884         863         862
       923         884         922
       943         922         921
       982         943         981
      1002         981         980
      1041        1002        1040
      1061        1040        1039
      1100        1061        1099
      1120        1099        1098
         2        1161           1
        40           1        1181
        61          40          60
        99          60        1183
       120          99         119
       158         119        1185
       179         158         178
       217         178        1187
       238         217         237
       276         237        1189
       297         276         296
       335         296        1191
       356         335         355
       394         355        1193
       415         394         414
